,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
2583,Bachelors,2012,Bangalore,3,27,Female,No,5,0
398,Bachelors,2015,Pune,1,26,Female,No,4,1
3426,Bachelors,2017,New Delhi,2,41,Male,No,1,0
3897,Bachelors,2017,Bangalore,3,38,Male,No,5,0
1339,Bachelors,2017,Pune,2,26,Female,No,4,1
3753,Masters,2013,New Delhi,3,32,Male,No,2,0
4394,Bachelors,2012,Pune,3,34,Male,No,0,0
16,Bachelors,2014,Bangalore,3,34,Female,No,2,0
2732,Bachelors,2012,Bangalore,3,28,Female,Yes,0,0
2544,Bachelors,2018,Pune,3,30,Male,Yes,3,1
2105,Bachelors,2014,Bangalore,1,30,Male,Yes,2,1
3063,Bachelors,2013,Bangalore,3,40,Female,Yes,5,0
4561,Bachelors,2013,Bangalore,3,22,Male,No,0,1
376,Bachelors,2015,Pune,2,24,Female,No,2,1
1257,Masters,2017,New Delhi,2,24,Male,No,2,1
3422,PHD,2013,Bangalore,2,41,Male,No,2,1
3002,Masters,2017,Bangalore,3,40,Female,No,4,0
2374,Masters,2017,New Delhi,2,30,Female,Yes,2,0
2955,Masters,2015,Pune,3,26,Male,No,4,1
2182,Bachelors,2017,Bangalore,3,29,Male,No,2,0
3072,Bachelors,2017,Bangalore,3,35,Male,Yes,2,0
571,Bachelors,2014,Pune,3,25,Female,No,3,0
3401,Masters,2017,Pune,2,35,Male,No,3,1
2587,Bachelors,2015,Pune,3,29,Male,No,1,0
3399,Bachelors,2016,Bangalore,3,38,Male,No,1,0
3266,Bachelors,2017,Bangalore,1,39,Male,No,0,0
3710,Bachelors,2017,Pune,2,33,Male,No,3,0
653,Bachelors,2014,Bangalore,3,28,Female,No,3,0
1143,Bachelors,2014,Bangalore,3,24,Male,No,2,0
2485,Bachelors,2014,Pune,3,28,Male,No,1,0
1750,Masters,2012,New Delhi,3,27,Female,No,5,1
2467,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1668,Bachelors,2016,Bangalore,3,28,Male,Yes,0,0
337,Bachelors,2013,Bangalore,3,24,Male,Yes,2,0
1244,PHD,2015,Pune,3,28,Male,No,0,0
718,Bachelors,2018,Bangalore,3,27,Male,Yes,5,1
2546,Masters,2013,New Delhi,2,27,Female,No,5,1
1570,Bachelors,2013,Bangalore,1,24,Male,No,2,0
2875,Bachelors,2017,Pune,2,29,Male,No,3,0
2749,Bachelors,2017,Pune,2,26,Female,No,4,1
1827,Bachelors,2014,Pune,3,28,Male,No,0,0
74,Masters,2017,New Delhi,2,25,Female,No,3,1
2795,Bachelors,2018,Bangalore,3,27,Male,No,5,1
2204,Bachelors,2016,New Delhi,3,26,Female,No,4,0
2523,Masters,2017,Pune,2,30,Male,No,0,0
2817,Masters,2017,New Delhi,2,30,Female,No,2,0
426,Bachelors,2014,Pune,3,27,Male,No,5,0
2495,Masters,2012,New Delhi,3,30,Male,No,2,0
3248,Bachelors,2017,Bangalore,3,35,Female,No,4,0
1212,Bachelors,2015,Pune,2,27,Female,No,5,1
2735,Bachelors,2015,Pune,3,27,Male,No,5,0
4014,Masters,2017,New Delhi,2,31,Female,No,2,0
863,Bachelors,2013,Pune,3,26,Male,No,4,0
1073,Masters,2018,New Delhi,3,26,Male,Yes,4,1
592,PHD,2017,Bangalore,3,28,Male,No,1,0
4358,Masters,2017,New Delhi,2,22,Male,No,0,1
1605,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1272,Masters,2015,Pune,2,28,Female,No,2,0
873,Masters,2012,New Delhi,3,26,Male,No,4,1
3696,Bachelors,2018,Bangalore,3,39,Male,No,1,1
1101,Bachelors,2013,Bangalore,3,28,Female,No,4,1
166,Bachelors,2012,Bangalore,3,24,Male,No,2,0
3024,Bachelors,2018,Bangalore,3,32,Female,Yes,2,1
167,Bachelors,2014,Bangalore,3,25,Male,No,3,0
2781,Bachelors,2017,Pune,3,29,Male,No,0,0
14,Bachelors,2012,Bangalore,3,37,Male,No,4,0
1075,Bachelors,2012,Bangalore,3,25,Male,No,3,0
2022,Bachelors,2018,Pune,3,26,Male,No,4,1
3421,Bachelors,2013,Pune,3,34,Male,Yes,5,0
1210,Bachelors,2013,Pune,3,27,Male,Yes,5,1
1374,Bachelors,2018,Bangalore,3,26,Female,Yes,4,1
2968,Bachelors,2014,Bangalore,1,28,Female,No,5,0
4520,Bachelors,2015,Bangalore,3,28,Male,No,3,0
789,Bachelors,2017,Bangalore,3,26,Male,No,4,0
4555,Bachelors,2015,New Delhi,3,23,Female,No,1,0
2218,Bachelors,2013,Pune,2,28,Female,No,1,1
115,Bachelors,2014,Pune,1,26,Female,No,4,1
3181,Bachelors,2016,Bangalore,3,31,Male,No,1,1
1598,Masters,2017,New Delhi,2,26,Female,No,4,1
1185,Bachelors,2013,Bangalore,3,27,Male,No,5,0
2617,Bachelors,2016,Pune,3,28,Male,No,5,0
446,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
1059,Bachelors,2014,Bangalore,3,26,Female,No,4,0
3316,Bachelors,2012,Bangalore,3,39,Male,No,0,0
47,Masters,2013,New Delhi,3,35,Male,No,2,0
310,Masters,2015,Pune,3,28,Female,No,2,0
379,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1017,Bachelors,2017,Bangalore,1,24,Male,No,2,0
3007,Bachelors,2017,Bangalore,3,31,Male,No,0,0
3233,Bachelors,2014,Pune,2,36,Female,No,2,1
3499,Bachelors,2016,Pune,3,31,Male,No,0,1
1858,Bachelors,2018,Bangalore,3,25,Male,No,3,1
3925,Masters,2017,Bangalore,2,31,Male,No,5,0
2365,Bachelors,2014,Bangalore,1,28,Female,No,2,0
847,Bachelors,2014,Bangalore,3,25,Female,No,3,0
3402,Bachelors,2016,Bangalore,3,36,Female,No,1,0
187,PHD,2015,New Delhi,3,28,Female,No,1,0
3321,Bachelors,2014,Bangalore,3,41,Male,No,4,0
3052,Bachelors,2012,Bangalore,3,34,Male,No,1,0
2383,Masters,2014,Pune,3,30,Male,No,2,0
1141,Bachelors,2012,New Delhi,1,27,Female,No,5,0
513,Bachelors,2014,Bangalore,3,24,Male,No,2,0
2181,PHD,2017,Bangalore,3,27,Male,No,5,0
4205,Bachelors,2016,Bangalore,3,40,Male,No,0,1
4127,Bachelors,2014,New Delhi,3,33,Female,Yes,4,0
670,Masters,2018,New Delhi,3,27,Female,No,5,1
3882,Bachelors,2013,New Delhi,3,39,Male,No,5,0
4396,Bachelors,2012,Bangalore,3,39,Female,No,3,0
4426,Bachelors,2014,Bangalore,3,32,Male,No,1,0
3999,Bachelors,2012,Pune,3,34,Female,No,2,1
1973,Bachelors,2017,Pune,3,28,Female,No,1,0
2192,Bachelors,2014,Pune,2,29,Male,No,2,1
380,Bachelors,2016,Bangalore,3,28,Male,No,2,0
2760,PHD,2018,New Delhi,3,30,Male,No,2,1
3939,Bachelors,2017,Bangalore,3,37,Female,No,2,0
4207,Bachelors,2012,Bangalore,3,32,Male,No,4,0
2275,Bachelors,2012,Bangalore,3,30,Female,Yes,2,0
1695,Masters,2018,New Delhi,3,25,Female,No,3,1
3437,Masters,2014,Pune,3,39,Male,No,4,0
3511,Masters,2017,New Delhi,2,40,Male,No,2,0
2888,Bachelors,2013,Pune,3,27,Male,No,5,0
1539,Bachelors,2017,New Delhi,3,27,Female,Yes,5,0
4091,Bachelors,2014,Pune,3,32,Male,No,2,0
277,Bachelors,2014,Bangalore,3,28,Male,No,1,0
314,Masters,2015,Pune,3,28,Female,No,2,0
3541,Bachelors,2018,Bangalore,3,41,Male,No,5,1
1076,Masters,2012,New Delhi,3,28,Male,Yes,2,0
183,Masters,2017,New Delhi,3,27,Male,No,5,1
2777,Masters,2017,New Delhi,3,29,Female,No,2,0
432,PHD,2013,New Delhi,3,27,Male,No,5,0
3227,Bachelors,2012,Bangalore,3,33,Female,No,1,0
3044,Bachelors,2018,Pune,2,39,Female,No,0,1
3065,Bachelors,2016,Pune,3,33,Male,No,3,0
1901,Bachelors,2013,Bangalore,3,25,Male,No,3,0
135,Masters,2018,New Delhi,3,26,Male,No,4,1
723,Bachelors,2015,Pune,2,28,Female,Yes,2,1
3491,Masters,2015,New Delhi,3,38,Male,No,1,0
4139,Bachelors,2017,Bangalore,3,37,Male,No,3,1
1865,Masters,2017,New Delhi,1,26,Male,No,4,0
3081,Bachelors,2017,New Delhi,2,39,Male,No,2,0
4082,Masters,2018,New Delhi,3,23,Female,No,1,1
1795,Masters,2017,New Delhi,2,28,Female,No,3,0
3202,Bachelors,2015,Pune,3,34,Male,No,4,0
3621,Bachelors,2017,Pune,3,38,Male,Yes,1,0
533,Bachelors,2014,Bangalore,3,25,Male,No,3,1
1265,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1985,Bachelors,2014,Bangalore,3,25,Male,No,3,0
4372,Bachelors,2012,New Delhi,3,36,Male,No,3,0
501,Bachelors,2017,New Delhi,2,25,Female,No,3,1
3854,Masters,2014,Pune,3,39,Male,No,2,0
1411,Bachelors,2017,Pune,3,26,Male,No,4,0
3117,Bachelors,2017,New Delhi,2,36,Male,No,2,0
1758,Bachelors,2013,Pune,2,25,Male,No,3,1
1465,Bachelors,2012,Bangalore,1,27,Male,No,5,0
206,Bachelors,2017,Bangalore,3,25,Male,No,3,0
637,Bachelors,2015,Bangalore,1,25,Female,Yes,3,0
4120,Bachelors,2015,Bangalore,3,30,Male,No,0,0
3728,Bachelors,2015,Pune,2,39,Female,No,5,1
840,Bachelors,2012,Bangalore,3,26,Female,No,4,0
2039,Bachelors,2017,Pune,3,26,Female,No,4,1
221,Bachelors,2013,Pune,2,26,Male,No,4,0
2897,Bachelors,2016,New Delhi,1,29,Female,No,1,0
3720,Masters,2015,Pune,3,36,Male,No,3,0
462,Bachelors,2014,Bangalore,1,25,Male,Yes,3,0
36,Bachelors,2012,New Delhi,3,29,Male,No,3,0
725,Bachelors,2016,Bangalore,3,24,Female,No,2,0
1260,Bachelors,2016,Pune,2,27,Female,No,5,1
4487,Masters,2017,New Delhi,3,34,Male,No,1,1
1368,PHD,2012,Pune,3,27,Male,No,5,0
440,Bachelors,2017,Bangalore,3,27,Male,No,5,0
76,Bachelors,2014,Bangalore,1,23,Female,No,1,0
1128,Bachelors,2015,Pune,2,26,Female,No,4,1
859,Bachelors,2014,New Delhi,3,28,Female,No,1,0
2372,Bachelors,2014,Pune,2,28,Female,No,2,1
996,Bachelors,2014,Pune,2,26,Female,No,4,1
1240,Bachelors,2012,Bangalore,3,27,Male,No,5,0
2245,Bachelors,2012,Pune,3,27,Male,No,5,0
3613,Bachelors,2013,Bangalore,3,39,Male,No,0,0
1708,Bachelors,2017,New Delhi,3,25,Female,No,3,0
3895,Bachelors,2014,Pune,3,41,Male,No,4,0
1855,Bachelors,2015,New Delhi,3,25,Female,No,3,0
4071,Masters,2015,Pune,2,33,Female,No,2,1
3048,Masters,2013,New Delhi,3,41,Male,No,0,0
1979,Masters,2017,Bangalore,3,28,Female,No,0,1
2310,Bachelors,2013,Pune,3,29,Male,No,2,0
929,Masters,2012,New Delhi,3,28,Male,No,2,0
4245,Bachelors,2013,New Delhi,3,35,Female,No,0,0
3704,Bachelors,2017,Pune,3,41,Female,No,4,1
2835,Bachelors,2017,Pune,2,29,Female,No,4,1
4436,Bachelors,2016,Bangalore,3,22,Male,No,0,0
4312,Bachelors,2018,Bangalore,3,24,Male,Yes,2,1
1007,Masters,2013,New Delhi,3,27,Male,No,5,1
907,Bachelors,2017,Bangalore,3,28,Male,Yes,1,0
4177,Bachelors,2015,Bangalore,3,26,Female,No,4,1
3035,Bachelors,2014,Bangalore,3,38,Female,No,2,1
1012,Bachelors,2014,Bangalore,3,26,Male,No,4,0
2122,Bachelors,2012,Bangalore,3,28,Male,No,2,0
241,Bachelors,2017,New Delhi,3,24,Male,No,2,1
311,Bachelors,2017,Bangalore,3,24,Female,No,2,0
2227,Bachelors,2017,Pune,2,30,Female,No,2,1
3275,PHD,2013,New Delhi,1,36,Female,No,3,0
2373,Bachelors,2016,Bangalore,3,26,Male,No,4,0
3136,Bachelors,2016,New Delhi,3,34,Male,No,1,0
2789,Bachelors,2013,Pune,1,30,Female,Yes,1,1
3498,Bachelors,2018,Bangalore,3,34,Female,No,3,1
2689,Masters,2017,New Delhi,2,30,Female,No,2,0
712,Bachelors,2014,Pune,2,24,Female,No,2,1
4494,Bachelors,2017,Bangalore,3,39,Male,No,3,0
2281,Bachelors,2017,New Delhi,3,26,Male,No,4,0
4440,Bachelors,2012,New Delhi,3,35,Female,No,5,0
568,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1688,PHD,2016,Bangalore,3,25,Male,No,3,0
861,Bachelors,2015,Bangalore,3,24,Male,No,2,1
2199,PHD,2015,Bangalore,3,29,Male,No,2,0
3485,Bachelors,2017,Bangalore,3,32,Male,No,5,0
1114,Bachelors,2017,Bangalore,1,26,Female,No,4,0
4357,Bachelors,2014,Bangalore,3,22,Male,No,0,0
2016,Bachelors,2014,Bangalore,3,29,Male,No,1,0
686,Bachelors,2016,Pune,3,26,Male,No,4,0
449,Bachelors,2017,Bangalore,3,26,Male,No,4,0
573,Bachelors,2017,Bangalore,3,25,Male,No,3,0
3573,Bachelors,2017,Pune,2,35,Female,No,5,1
438,Bachelors,2017,Bangalore,3,26,Male,No,4,0
473,Bachelors,2013,New Delhi,3,24,Female,No,2,1
2335,Masters,2016,Pune,3,30,Male,No,1,0
4226,Masters,2015,Pune,2,26,Female,No,4,1
1544,Bachelors,2013,Pune,3,24,Female,No,2,0
1612,Masters,2017,New Delhi,2,25,Female,No,3,1
793,Bachelors,2012,Bangalore,3,24,Male,No,2,0
1208,Bachelors,2017,Pune,3,25,Male,Yes,3,1
1626,Masters,2015,New Delhi,3,28,Female,No,2,0
1560,Bachelors,2013,Bangalore,3,25,Female,No,3,1
192,Bachelors,2013,Bangalore,3,28,Male,No,1,0
1083,Bachelors,2017,New Delhi,2,26,Female,No,4,0
4165,Bachelors,2013,Bangalore,3,37,Male,No,5,0
868,Bachelors,2012,Bangalore,3,26,Male,No,4,0
2825,Bachelors,2018,Bangalore,3,28,Male,No,5,1
4638,Bachelors,2013,Bangalore,3,26,Male,No,4,0
4599,Bachelors,2013,Bangalore,3,36,Male,No,0,0
2078,Bachelors,2012,New Delhi,3,29,Male,No,1,0
2273,Bachelors,2012,Bangalore,1,30,Female,No,2,0
2482,PHD,2012,New Delhi,1,29,Female,No,2,0
364,Masters,2017,Bangalore,1,26,Female,No,4,1
2849,Bachelors,2013,Bangalore,3,30,Female,No,1,0
1021,Bachelors,2015,Bangalore,3,27,Male,No,5,0
4246,Bachelors,2013,Pune,2,28,Male,No,5,0
308,Masters,2017,New Delhi,2,24,Female,No,2,0
1917,Bachelors,2018,Bangalore,3,25,Female,No,3,1
1228,Bachelors,2012,Bangalore,3,27,Female,No,5,0
4099,Bachelors,2018,Bangalore,3,24,Male,No,2,1
2601,Bachelors,2016,Bangalore,3,29,Male,No,3,0
1749,Masters,2013,Bangalore,3,25,Male,No,3,1
2050,Bachelors,2017,Pune,3,28,Male,No,2,0
1770,Bachelors,2017,Bangalore,3,27,Female,Yes,5,0
2679,Bachelors,2014,Bangalore,3,30,Male,No,2,1
818,Bachelors,2018,Bangalore,3,24,Male,Yes,2,1
2737,Bachelors,2018,Pune,3,29,Male,Yes,3,1
236,Bachelors,2014,New Delhi,3,24,Female,No,2,0
3120,Bachelors,2018,New Delhi,3,39,Female,Yes,0,1
4529,Bachelors,2015,Pune,3,36,Male,No,3,0
454,PHD,2012,Pune,3,24,Male,No,2,0
4429,Masters,2017,Bangalore,2,24,Female,No,2,0
2848,PHD,2018,Bangalore,3,27,Male,No,5,1
2356,Masters,2018,New Delhi,3,27,Female,No,5,1
2594,Bachelors,2016,Pune,3,29,Male,No,5,0
788,Masters,2015,Pune,3,28,Female,No,3,0
2274,Bachelors,2018,Pune,3,28,Male,No,2,1
848,Bachelors,2013,Pune,2,27,Female,No,5,1
988,Masters,2016,Bangalore,3,26,Female,No,4,1
3056,Bachelors,2018,Bangalore,3,34,Male,Yes,2,1
1535,Bachelors,2015,Pune,2,25,Female,Yes,3,1
1423,Bachelors,2015,Pune,3,24,Female,No,2,1
1515,Bachelors,2014,Bangalore,3,26,Male,No,4,0
620,Bachelors,2014,Bangalore,3,28,Male,No,3,1
425,PHD,2018,New Delhi,3,25,Male,No,3,1
2412,Masters,2013,New Delhi,3,27,Female,No,5,1
4161,Bachelors,2016,Bangalore,3,28,Male,No,1,0
282,Bachelors,2015,Pune,1,25,Female,No,3,1
3223,Bachelors,2014,Bangalore,3,36,Female,No,3,0
764,Masters,2015,New Delhi,3,28,Female,No,3,0
120,Bachelors,2012,Bangalore,1,28,Female,No,3,0
232,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
1121,Bachelors,2015,Pune,2,28,Female,No,2,1
3021,Bachelors,2012,Bangalore,3,36,Male,No,2,0
930,Bachelors,2012,Bangalore,3,28,Male,No,3,0
2519,PHD,2015,Pune,2,30,Female,No,4,0
4477,Masters,2017,New Delhi,1,37,Male,No,0,0
2833,Bachelors,2014,Pune,3,26,Male,No,4,0
479,Masters,2013,New Delhi,2,25,Male,No,3,1
1462,Bachelors,2012,Bangalore,3,27,Male,No,5,0
4476,Bachelors,2015,Bangalore,3,29,Female,No,1,0
1857,Masters,2018,New Delhi,3,25,Male,No,3,1
2160,Bachelors,2015,Pune,3,29,Male,No,2,0
3107,Bachelors,2015,Bangalore,3,32,Male,No,2,0
3169,Bachelors,2014,Pune,3,40,Male,No,5,0
1704,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1786,Masters,2017,Pune,2,25,Female,No,3,1
819,Bachelors,2016,New Delhi,3,28,Male,No,1,0
3489,Bachelors,2017,Bangalore,3,34,Male,Yes,0,0
263,Bachelors,2012,Pune,1,26,Male,No,4,0
174,Bachelors,2013,Bangalore,3,26,Male,No,4,0
3800,Bachelors,2017,Pune,3,34,Female,No,1,0
2554,Bachelors,2013,Bangalore,3,30,Male,No,5,0
4230,Bachelors,2017,Pune,3,33,Male,No,4,0
3630,Bachelors,2013,Bangalore,3,32,Male,No,5,1
2906,Bachelors,2015,Pune,3,28,Male,No,5,0
1944,Bachelors,2017,New Delhi,3,25,Male,No,3,0
2852,Masters,2015,New Delhi,3,30,Male,No,2,0
3827,Bachelors,2017,Pune,3,33,Male,No,1,0
217,Masters,2013,New Delhi,3,26,Male,No,4,1
2477,Bachelors,2014,Pune,3,26,Male,No,4,0
300,Bachelors,2013,Bangalore,3,26,Male,No,4,0
4039,Masters,2018,New Delhi,3,39,Female,No,2,1
2561,Bachelors,2013,Bangalore,3,27,Male,No,5,0
2746,Bachelors,2017,Pune,3,29,Female,No,0,1
2006,Masters,2017,New Delhi,3,28,Male,No,2,0
1004,Bachelors,2017,Bangalore,3,25,Male,No,3,0
2644,Bachelors,2017,Pune,2,28,Male,No,5,0
564,Masters,2018,Pune,3,25,Male,No,3,1
3956,Bachelors,2012,Bangalore,3,33,Male,No,1,0
4347,Bachelors,2014,Pune,3,38,Male,No,2,0
4353,Bachelors,2014,Bangalore,3,27,Male,No,5,0
4133,Masters,2018,New Delhi,3,34,Male,No,2,1
134,Masters,2017,New Delhi,2,24,Male,No,2,0
754,Bachelors,2017,Pune,2,26,Female,No,4,1
3175,Bachelors,2017,Pune,3,40,Male,No,3,0
4564,Bachelors,2017,Bangalore,3,24,Female,No,2,0
1700,Bachelors,2017,Pune,3,26,Male,No,4,0
1517,Bachelors,2017,New Delhi,3,26,Male,No,4,0
4370,Bachelors,2015,Bangalore,3,33,Male,No,3,1
3949,Bachelors,2016,Bangalore,3,40,Female,Yes,4,0
4182,Masters,2017,Pune,2,24,Male,No,2,0
648,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1046,Bachelors,2012,Bangalore,3,28,Male,No,1,0
275,Bachelors,2013,Pune,3,27,Female,No,5,1
3975,Bachelors,2014,Bangalore,3,39,Male,No,7,1
3714,Bachelors,2017,Bangalore,3,31,Male,No,0,0
1995,Masters,2017,New Delhi,3,26,Female,No,4,0
2853,Bachelors,2012,Bangalore,3,29,Male,No,4,0
2496,Bachelors,2012,Bangalore,1,30,Female,No,0,0
2069,Bachelors,2013,Bangalore,3,27,Female,No,5,0
1953,Masters,2015,Bangalore,3,27,Male,No,5,1
1397,PHD,2013,Bangalore,3,26,Male,No,4,0
4473,PHD,2015,Pune,2,35,Female,No,0,0
4046,Bachelors,2017,New Delhi,3,23,Male,No,1,0
4518,Bachelors,2013,Pune,3,31,Male,No,2,0
1486,Bachelors,2018,Pune,3,24,Male,No,2,1
547,Masters,2014,Pune,2,27,Female,No,5,0
2949,Bachelors,2015,Bangalore,3,26,Male,No,4,0
3536,Bachelors,2018,Bangalore,3,32,Female,No,2,1
1760,Bachelors,2012,Bangalore,3,27,Male,No,5,0
472,Bachelors,2014,Pune,3,27,Male,No,5,0
4125,Bachelors,2017,Pune,2,27,Female,No,5,1
810,Bachelors,2017,New Delhi,2,25,Female,No,3,0
2779,Masters,2018,New Delhi,3,30,Male,No,2,1
4546,Bachelors,2017,Bangalore,3,25,Female,No,3,0
4254,Masters,2014,Pune,3,38,Male,Yes,2,0
3303,Bachelors,2012,Bangalore,3,38,Male,No,2,0
4535,Bachelors,2015,Pune,2,28,Female,Yes,2,1
2991,Bachelors,2018,Bangalore,3,37,Male,No,4,1
590,Masters,2012,Pune,2,26,Female,No,4,0
2656,Bachelors,2012,Bangalore,3,29,Male,No,5,0
2780,Masters,2014,Pune,3,27,Female,No,5,1
2389,Bachelors,2013,Pune,3,26,Male,No,4,0
2705,Bachelors,2013,Bangalore,3,26,Female,No,4,0
324,Bachelors,2015,New Delhi,3,26,Female,Yes,4,0
2766,Bachelors,2014,New Delhi,3,26,Male,No,4,0
4115,Bachelors,2015,Bangalore,3,23,Female,No,1,0
493,Bachelors,2016,Bangalore,3,27,Male,No,5,0
1452,Bachelors,2016,Bangalore,3,28,Female,No,5,0
2878,Bachelors,2013,Pune,3,30,Male,No,0,0
3415,Bachelors,2017,Pune,2,33,Male,No,1,0
